player_name,matches_played,mins,goals,xg,goals_vs_xg,shots,sot,conv_percentage,xg_per_shot,player_id,club_name
Mikel Merino,22,1027,4,3.38,0.62,22,8,18.18%,0.15,p195384,Arsenal
Riccardo Calafiori,26,1707,1,3.34,-2.34,32,8,3.12%,0.10,p466075,Arsenal
Rodrigo Muniz,21,997,1,3.34,-2.34,32,5,3.12%,0.10,p244042,Fulham
Kai Havertz,12,583,2,3.31,-1.31,18,4,11.11%,0.18,p219847,Arsenal
Jan Paul van Hecke,36,3211,3,3.30,-0.30,23,10,13.04%,0.14,p469142,Brighton
Lyle Foster,26,1372,3,3.25,-0.25,20,6,15.00%,0.16,p435973,Burnley
Jhon Arias,23,1121,1,3.25,-2.25,16,3,6.25%,0.20,p230376,Wolves
Declan Rice,36,3099,4,3.17,0.83,40,13,10.00%,0.08,p204480,Arsenal
Jacob Murphy,33,1618,3,3.15,-0.15,42,13,7.14%,0.07,p114243,Newcastle
Sepp van den Berg,32,2761,0,3.13,-3.13,23,7,0.00%,0.14,p444765,Brentford
Yoane Wissa,19,521,1,3.12,-2.12,13,5,7.69%,0.24,p216646,Newcastle
Xavi Simons,28,1757,2,3.08,-1.08,42,10,4.76%,0.07,p493362,Spurs
Keane Lewis-Potter,36,1968,3,3.04,-0.04,31,9,9.68%,0.10,p249231,Brentford
Georginio Rutter,32,1790,3,3.02,-0.02,42,14,7.14%,0.07,p463067,Brighton
Pascal Struijk,34,2937,0,3.02,-3.02,31,5,0.00%,0.10,p222694,Leeds
John McGinn,30,2157,5,2.96,2.04,28,12,17.86%,0.11,p122806,Aston Villa
Joshua Zirkzee,24,608,2,2.95,-0.95,25,9,8.00%,0.12,p458249,Man Utd
Gabriel Magalhães,32,2751,3,2.93,0.07,27,7,11.11%,0.11,p226597,Arsenal
Anton Stach,29,2378,5,2.92,2.08,55,14,9.09%,0.05,p466525,Leeds
Estêvão,22,845,2,2.92,-0.92,28,8,7.14%,0.10,p624773,Chelsea
Rayan,15,1119,5,2.91,2.09,28,8,17.86%,0.10,p499604,Bournemouth
James Tarkowski,37,3330,2,2.91,-0.91,21,10,9.52%,0.14,p17761,Everton
Elliot Anderson,38,3334,4,2.90,1.10,44,10,9.09%,0.07,p215379,Nott'm Forest
Martín Zubimendi,38,3001,5,2.85,2.15,27,9,18.52%,0.11,p481655,Arsenal
Lucas Paquetá,18,1521,4,2.82,1.18,23,11,17.39%,0.12,p224024,West Ham
Callum Hudson-Odoi,30,1844,3,2.80,0.20,30,10,10.00%,0.09,p209046,Nott'm Forest
Curtis Jones,34,1929,1,2.77,-1.77,23,7,4.35%,0.12,p206915,Liverpool
Adam Armstrong,14,1146,2,2.74,-0.74,18,6,11.11%,0.15,p155511,Wolves
Jérémy Doku,30,1784,5,2.73,2.27,39,15,12.82%,0.07,p248875,Man City
Omar Marmoush,21,699,3,2.72,0.28,30,9,10.00%,0.09,p438234,Man City
Yasin Ayari,29,1924,3,2.71,0.29,41,10,7.32%,0.07,p509416,Brighton
João Palhinha,33,2197,5,2.70,2.30,33,9,15.15%,0.08,p154296,Spurs
Gabriel Jesus,14,421,3,2.69,0.31,19,12,15.79%,0.14,p205651,Arsenal
Alexander Isak,14,703,3,2.65,0.35,17,6,17.65%,0.16,p219168,Liverpool
Justin Devenny,21,788,1,2.62,-1.62,13,4,7.69%,0.20,p489706,Crystal Palace
Mikkel Damsgaard,33,2057,4,2.62,1.38,29,11,13.79%,0.09,p440089,Brentford
Amine Adli,31,1082,3,2.60,0.40,20,9,15.00%,0.13,p489888,Bournemouth
Bernardo Silva,38,2886,2,2.56,-0.56,30,7,6.67%,0.09,p165809,Man City
Konstantinos Mavropanos,31,2528,3,2.55,0.45,23,8,13.04%,0.11,p233963,West Ham
Micky van de Ven,35,3043,4,2.53,1.47,16,6,25.00%,0.16,p491279,Spurs
Yerson Mosquera,27,2142,0,2.52,-2.52,30,6,0.00%,0.08,p501837,Wolves
Lesley Ugochukwu,35,2350,3,2.50,0.50,23,8,13.04%,0.11,p503714,Burnley
Ethan Ampadu,35,3123,1,2.50,-1.50,26,6,3.85%,0.10,p199598,Leeds
Josh King,32,1304,1,2.47,-1.47,26,11,3.85%,0.09,p577725,Fulham
Dan Ballard,29,2148,2,2.46,-0.46,26,9,7.69%,0.09,p223827,Sunderland
Daniel Muñoz,29,2403,4,2.44,1.56,27,13,14.81%,0.09,p247348,Crystal Palace
Mathys Tel,31,1342,4,2.44,1.56,35,8,11.43%,0.07,p511499,Spurs
Brennan Johnson,34,1722,2,2.43,-0.43,23,5,8.70%,0.11,p242898,Crystal Palace
Dominic Solanke,15,1000,3,2.43,0.57,20,11,15.00%,0.12,p154566,Spurs
Josko Gvardiol,18,1374,2,2.40,-0.40,17,6,11.76%,0.14,p477424,Man City
Hwang Hee-Chan,26,1452,2,2.39,-0.39,19,6,10.53%,0.13,p184754,Wolves
Joelinton,27,1953,2,2.39,-0.39,32,11,6.25%,0.07,p180974,Newcastle
Maxence Lacroix,35,3087,1,2.38,-1.38,24,7,4.17%,0.10,p437499,Crystal Palace
Chris Richards,33,2826,1,2.36,-1.36,15,2,6.67%,0.16,p427623,Crystal Palace
Patrick Dorgu,26,1445,4,2.35,1.65,26,12,15.38%,0.09,p596777,Man Utd
Marc Cucurella,34,2710,1,2.35,-1.35,20,6,5.00%,0.12,p179268,Chelsea
Savinho,24,821,1,2.33,-1.33,20,11,5.00%,0.12,p510281,Man City
Justin Kluivert,20,951,2,2.32,-0.32,17,4,11.76%,0.14,p222683,Bournemouth
Santiago Bueno,29,2553,3,2.28,0.72,10,7,30.00%,0.23,p231480,Wolves
Nathan Collins,35,2972,1,2.28,-1.28,20,6,5.00%,0.11,p432830,Brentford
Mathias Jensen,36,2252,3,2.27,0.73,29,8,10.34%,0.08,p207283,Brentford
Sasa Lukic,26,1734,1,2.26,-1.26,18,6,5.56%,0.13,p212314,Fulham
Ladislav Krejcí,28,2361,2,2.22,-0.22,21,10,9.52%,0.11,p431248,Wolves
Randal Kolo Muani,30,1670,1,2.18,-1.18,20,4,5.00%,0.11,p247693,Spurs
Michael Keane,33,2590,3,2.16,0.84,26,7,11.54%,0.08,p106611,Everton
Rodrigo Gomes,22,960,3,2.15,0.85,20,6,15.00%,0.11,p483081,Wolves
Trai Hume,38,3037,2,2.15,-0.15,34,7,5.88%,0.06,p487676,Sunderland
Armando Broja,24,849,1,2.15,-1.15,16,6,6.25%,0.13,p440323,Burnley
Jack Grealish,20,1631,2,2.15,-0.15,26,8,7.69%,0.08,p114283,Everton
Charalampos Kostoulas,21,353,2,2.14,-0.14,21,8,9.52%,0.10,p647850,Brighton
Eliezer Mayenda,20,756,2,2.14,-0.14,13,6,15.38%,0.16,p564406,Sunderland
Chemsdine Talbi,28,1561,4,2.13,1.87,25,10,16.00%,0.09,p549912,Sunderland
Jayden Bogle,34,2802,1,2.11,-1.11,18,4,5.56%,0.12,p226182,Leeds
Samuel Chukwueze,23,1075,3,2.07,0.93,25,7,12.00%,0.08,p218328,Fulham
Tammy Abraham,12,279,2,2.04,-0.04,9,3,22.22%,0.23,p173879,Aston Villa
Ferdi Kadioglu,37,3134,1,2.03,-1.03,28,13,3.57%,0.07,p231416,Brighton
James Garner,38,3414,2,2.03,-0.03,45,14,4.44%,0.05,p232928,Everton
Mateus Mané,27,1790,3,2.01,0.99,42,17,7.14%,0.05,p647671,Wolves
Enes Ünal,23,214,1,2.00,-1.00,15,3,6.67%,0.13,p168636,Bournemouth
Andrey Santos,27,1255,1,2.00,-1.00,11,2,9.09%,0.18,p532605,Chelsea
Mateus Fernandes,36,3024,3,2.00,1.00,28,8,10.71%,0.07,p551226,West Ham
Diogo Dalot,34,2616,1,2.00,-1.00,24,6,4.17%,0.08,p216051,Man Utd
Idrissa Gueye,25,2101,2,2.00,0.00,29,7,6.90%,0.07,p80801,Everton
Neco Williams,37,3206,2,1.97,0.03,46,19,4.35%,0.04,p215136,Nott'm Forest
Wilson Odobert,24,980,0,1.96,-1.96,22,8,0.00%,0.09,p550839,Spurs
Omari Hutchinson,31,1684,1,1.94,-0.94,25,11,4.00%,0.08,p503301,Nott'm Forest
Mats Wieffer,26,1908,2,1.93,0.07,18,6,11.11%,0.11,p467779,Brighton
Mohammed Kudus,19,1545,2,1.93,0.07,26,9,7.69%,0.07,p460842,Spurs
Alex Iwobi,29,2434,4,1.92,2.08,39,15,10.26%,0.05,p153133,Fulham
Ryan Christie,26,986,2,1.92,0.08,25,8,8.00%,0.08,p158499,Bournemouth
Ryan Gravenberch,36,2996,5,1.90,3.10,38,13,13.16%,0.05,p441266,Liverpool
Nordi Mukiele,32,2787,3,1.88,1.12,26,4,11.54%,0.07,p200834,Sunderland
Maxim De Cuyper,30,1414,2,1.82,0.18,13,6,15.38%,0.14,p465730,Brighton
Jefferson Lerma,31,1724,0,1.82,-1.82,19,7,0.00%,0.10,p152551,Crystal Palace
Eddie Nketiah,12,416,2,1.77,0.23,15,6,13.33%,0.12,p205533,Crystal Palace
Sven Botman,25,1838,1,1.74,-0.74,15,4,6.67%,0.12,p220237,Newcastle
Jake O'Brien,37,3124,1,1.74,-0.74,13,6,7.69%,0.13,p512462,Everton
Sandro Tonali,35,2543,0,1.74,-1.74,37,8,0.00%,0.05,p432422,Newcastle
Calvin Bassey,30,2532,1,1.72,-0.72,13,2,7.69%,0.13,p232892,Fulham
Pape Matar Sarr,26,1391,2,1.72,0.28,17,6,11.76%,0.10,p482442,Spurs
Brajan Gruda,18,715,1,1.72,-0.72,16,6,6.25%,0.11,p513433,Brighton
Lewis Dunk,33,2837,1,1.71,-0.71,24,3,4.17%,0.07,p83299,Brighton
Amadou Onana,25,1764,2,1.71,0.29,19,7,10.53%,0.09,p449871,Aston Villa
Anthony Elanga,32,1313,0,1.67,-1.67,17,4,0.00%,0.10,p449434,Newcastle
James Justin,29,1896,2,1.67,0.33,24,6,8.33%,0.07,p220627,Leeds
Daichi Kamada,28,1908,0,1.65,-1.65,19,4,0.00%,0.09,p209400,Crystal Palace
Omar Alderete,33,2802,1,1.64,-0.64,24,9,4.17%,0.07,p201895,Sunderland
Tyrick Mitchell,38,3253,1,1.61,-0.61,19,7,5.26%,0.08,p244723,Crystal Palace
Ryan Sessegnon,27,1822,3,1.61,1.39,16,4,18.75%,0.10,p184349,Fulham
Ao Tanaka,28,1314,2,1.61,0.39,17,5,11.76%,0.09,p248056,Leeds
Marshall Munetsi,13,873,1,1.61,-0.61,14,6,7.14%,0.11,p433312,Wolves
Milos Kerkez,34,2260,2,1.59,0.41,9,2,22.22%,0.18,p544877,Liverpool
Evann Guessand,21,916,1,1.56,-0.56,11,6,9.09%,0.14,p485337,Crystal Palace
Malo Gusto,34,2267,2,1.56,0.44,12,6,16.67%,0.13,p482609,Chelsea
Marc Guiu,10,266,0,1.55,-1.55,13,2,0.00%,0.12,p499309,Chelsea
Sander Berge,35,2911,0,1.54,-1.54,15,3,0.00%,0.10,p207189,Fulham
Adam Wharton,34,2562,1,1.52,-0.52,32,6,3.12%,0.05,p496221,Crystal Palace
Marcos Senesi,37,3290,0,1.52,-1.52,17,5,0.00%,0.09,p221466,Bournemouth
Ross Barkley,21,852,3,1.51,1.49,18,8,16.67%,0.08,p88894,Aston Villa
Mason Mount,23,1018,3,1.50,1.50,19,5,15.79%,0.08,p184341,Man Utd
Federico Chiesa,26,318,2,1.50,0.50,17,5,11.76%,0.09,p223541,Liverpool
Marcus Edwards,23,1064,1,1.49,-0.49,23,6,4.35%,0.06,p174592,Burnley
Jaydee Canvot,20,1334,0,1.48,-1.48,7,1,0.00%,0.21,p651426,Crystal Palace
Oscar Bobb,23,1037,0,1.48,-1.48,12,3,0.00%,0.12,p477555,Fulham
Archie Gray,24,1479,2,1.48,0.52,11,5,18.18%,0.13,p547701,Spurs
Joachim Andersen,33,2877,0,1.48,-1.48,16,4,0.00%,0.09,p174874,Fulham
Nicolás Domínguez,27,1175,1,1.47,-0.47,18,5,5.56%,0.08,p250199,Nott'm Forest
Matthijs de Ligt,13,1170,1,1.46,-0.46,11,3,9.09%,0.13,p209365,Man Utd
Pascal Groß,19,1636,1,1.45,-0.45,18,9,5.56%,0.08,p60307,Brighton
Moisés Caicedo,33,2802,3,1.44,1.56,27,7,11.11%,0.05,p486672,Chelsea
Trevoh Chalobah,34,2782,3,1.43,1.57,16,5,18.75%,0.09,p180736,Chelsea
Timothy Castagne,30,1842,0,1.42,-1.42,14,6,0.00%,0.10,p166477,Fulham
Noah Sadiki,33,2894,0,1.41,-1.41,18,5,0.00%,0.08,p577669,Sunderland
Joe Rodon,35,2953,2,1.41,0.59,18,7,11.11%,0.08,p214225,Leeds
Lucas Bergvall,23,966,1,1.40,-0.40,12,5,8.33%,0.12,p570526,Spurs
Leny Yoro,32,1739,0,1.39,-1.39,9,3,0.00%,0.15,p550864,Man Utd
Dwight McNeil,22,1168,0,1.39,-1.39,24,5,0.00%,0.06,p433154,Everton
Jacob Bruun Larsen,28,1023,0,1.38,-1.38,17,4,0.00%,0.08,p179458,Burnley
Tyrone Mings,17,1323,0,1.37,-1.37,9,1,0.00%,0.15,p149484,Aston Villa
Adrien Truffert,38,3380,1,1.36,-0.36,16,6,6.25%,0.09,p494521,Bournemouth
Lewis Miley,23,1493,1,1.34,-0.34,12,4,8.33%,0.11,p547719,Newcastle
Nicolò Savona,14,1026,2,1.34,0.66,5,3,40.00%,0.27,p500151,Nott'm Forest
Morato,21,1342,1,1.32,-0.32,5,2,20.00%,0.26,p485047,Nott'm Forest
Rio Ngumoha,19,551,2,1.31,0.69,16,6,12.50%,0.08,p611922,Liverpool
Cristian Romero,23,1872,4,1.31,2.69,17,6,23.53%,0.08,p221632,Spurs
Ian Maatsen,30,1599,0,1.30,-1.30,20,5,0.00%,0.06,p441302,Aston Villa
João Gomes,35,2833,1,1.28,-0.28,19,7,5.26%,0.07,p448089,Wolves
Pau Torres,21,1676,0,1.27,-1.27,9,1,0.00%,0.14,p244954,Aston Villa
Joe Willock,24,980,0,1.26,-1.26,17,6,0.00%,0.07,p200089,Newcastle
Loum Tchaouna,29,1270,2,1.25,0.75,23,9,8.70%,0.05,p469272,Burnley
Sean Longstaff,23,1006,2,1.25,0.75,16,4,12.50%,0.08,p180135,Leeds
Ezri Konsa,34,3036,0,1.25,-1.25,11,2,0.00%,0.11,p199798,Aston Villa
Charly Alcaraz,20,685,0,1.24,-1.24,20,5,0.00%,0.06,p502697,Everton
Martin Ødegaard,24,1370,1,1.23,-0.23,22,8,4.55%,0.06,p184029,Arsenal
Noni Madueke,26,1217,3,1.22,1.78,26,10,11.54%,0.05,p248857,Arsenal
Tom Cairney,24,763,2,1.21,0.79,17,2,11.76%,0.07,p76357,Fulham
Ibrahima Konaté,36,3100,1,1.21,-0.21,12,4,8.33%,0.10,p204716,Liverpool
Matt O'Riley,6,203,1,1.20,-0.20,4,2,25.00%,0.30,p219249,Brighton
Kevin,26,1037,1,1.20,-0.20,25,10,4.00%,0.05,p560552,Fulham
Yehor Yarmoliuk,37,2665,1,1.20,-0.20,16,4,6.25%,0.08,p508395,Brentford
Jacob Ramsey,28,1444,2,1.19,0.81,16,4,12.50%,0.07,p232653,Newcastle
Matty Cash,35,3020,3,1.19,1.81,30,10,10.00%,0.04,p199796,Aston Villa
Max Dowman,6,153,1,1.18,-0.18,6,1,16.67%,0.20,p616077,Arsenal
Michael Kayode,37,3264,1,1.18,-0.18,9,3,11.11%,0.13,p607464,Brentford
Youri Tielemans,25,1862,0,1.17,-1.17,24,7,0.00%,0.05,p166989,Aston Villa
Ibrahim Sangaré,28,2080,2,1.15,0.85,16,5,12.50%,0.07,p210462,Nott'm Forest
Lutsharel Geertruida,28,1685,0,1.15,-1.15,11,3,0.00%,0.10,p247955,Sunderland
Kyle Walker-Peters,23,1380,1,1.13,-0.13,5,3,20.00%,0.23,p158534,West Ham
Rodri,21,1513,1,1.13,-0.13,16,3,6.25%,0.07,p220566,Man City
Álex Jiménez,31,2323,1,1.13,-0.13,21,4,4.76%,0.05,p551483,Bournemouth
Harry Maguire,23,1655,1,1.11,-0.11,14,4,7.14%,0.08,p95658,Man Utd
Joël Veltman,24,1050,1,1.11,-0.11,4,1,25.00%,0.28,p111478,Brighton
Andy Robertson,24,1172,1,1.10,-0.10,10,3,10.00%,0.11,p122798,Liverpool
Gabriel Gudmundsson,32,2637,0,1.10,-1.10,18,3,0.00%,0.06,p243526,Leeds
Will Hughes,31,1568,0,1.09,-1.09,17,0,0.00%,0.06,p108413,Crystal Palace
Antonee Robinson,22,1492,1,1.07,-0.07,6,1,16.67%,0.18,p169528,Fulham
Conor Gallagher,16,1190,1,1.07,-0.07,11,4,9.09%,0.10,p232787,Spurs
Dan Burn,29,2199,1,1.06,-0.06,10,3,10.00%,0.11,p78916,Newcastle
Dan Ndoye,24,1176,1,1.06,-0.06,15,4,6.67%,0.07,p456512,Nott'm Forest
Pedro Porro,34,2798,1,1.05,-0.05,32,8,3.12%,0.03,p441164,Spurs
Pablo,14,826,0,1.05,-1.05,12,3,0.00%,0.09,p530335,West Ham
Reece James,29,1961,2,1.04,0.96,22,7,9.09%,0.05,p225796,Chelsea
James Milner,20,778,1,1.02,-0.02,8,2,12.50%,0.13,p15157,Brighton
Granit Xhaka,34,2903,1,1.02,-0.02,21,5,4.76%,0.05,p84450,Sunderland
Axel Disasi,14,1255,0,1.02,-1.02,5,3,0.00%,0.20,p220362,West Ham
Lewis Hall,30,2179,1,1.01,-0.01,25,6,4.00%,0.04,p487838,Newcastle
Jean-Ricner Bellegarde,26,1251,1,0.99,0.01,21,7,4.76%,0.05,p231057,Wolves
Fabian Schär,16,1091,0,0.98,-0.98,17,4,0.00%,0.06,p119471,Newcastle
Kenny Tete,22,1794,1,0.96,0.04,16,3,6.25%,0.06,p167074,Fulham
Joël Piroe,16,246,0,0.96,-0.96,14,3,0.00%,0.07,p235826,Leeds
Niclas Füllkrug,8,408,0,0.92,-0.92,9,3,0.00%,0.10,p91889,West Ham
Vitaly Janelt,25,1437,1,0.91,0.09,12,3,8.33%,0.08,p204580,Brentford
Daniel James,19,553,0,0.91,-0.91,14,3,0.00%,0.06,p200617,Leeds
Djed Spence,30,2056,0,0.90,-0.90,13,8,0.00%,0.07,p232859,Spurs
Josh Cullen,18,1519,2,0.90,1.10,11,6,18.18%,0.08,p172567,Burnley
Hannibal Mejbri,27,1231,1,0.89,0.11,19,5,5.26%,0.05,p465527,Burnley
James Hill,29,2104,0,0.89,-0.89,12,2,0.00%,0.07,p463981,Bournemouth
Jaka Bijol,25,1893,1,0.88,0.12,15,6,6.67%,0.06,p434752,Leeds
Hugo Bueno,35,2364,1,0.86,0.14,16,6,6.25%,0.05,p490721,Wolves
William Saliba,31,2615,1,0.86,0.14,5,1,20.00%,0.17,p462424,Arsenal
Romaine Mundle,14,400,0,0.86,-0.86,7,2,0.00%,0.12,p461199,Sunderland
Josh Laurent,33,1759,1,0.85,0.15,14,4,7.14%,0.06,p167887,Burnley
Nikola Milenkovic,38,3375,0,0.84,-0.84,16,1,0.00%,0.05,p227444,Nott'm Forest
Chris Rigg,18,766,1,0.84,0.16,12,3,8.33%,0.07,p554197,Sunderland
Jamie Gittens,16,490,0,0.82,-0.82,10,2,0.00%,0.08,p463936,Chelsea
Issa Diop,13,814,1,0.80,0.20,2,1,50.00%,0.40,p219924,Fulham
Harrison Armstrong,13,528,0,0.79,-0.79,5,2,0.00%,0.16,p609873,Everton
