player_name,matches_played,mins,total_open_play_passes,successfull_open_play_passes,percentage_open_play_passes,in_final_third_total,in_final_third_successfull,in_final_third_percentage,crosses_total,crosses_successful,crosses_percentage,through_balls,player_id,club_name
Arthur Masuaku,3,127,48,39,81.3%,10,5,50.0%,8,2,25.0%,0,p105717,Sunderland
Enes Ünal,23,214,56,38,67.9%,29,17,58.6%,2,0,0.0%,1,p168636,Bournemouth
Andrés García,6,83,37,37,100.0%,5,5,100.0%,4,0,0.0%,0,p606798,Aston Villa
Ben Gannon-Doak,8,105,48,37,77.1%,22,16,72.7%,4,0,0.0%,0,p496208,Bournemouth
Jack Fletcher,3,107,45,37,82.2%,6,4,66.7%,0,0,0.0%,0,p547037,Man Utd
Pedro Lima,9,259,55,35,63.6%,16,8,50.0%,9,4,44.4%,0,p641221,Wolves
James Maddison,3,34,37,35,94.6%,14,14,100.0%,2,0,0.0%,0,p172780,Spurs
Christantus Uche,14,159,59,35,59.3%,33,17,51.5%,6,0,0.0%,0,p660392,Crystal Palace
Harry Howell,3,93,34,29,85.3%,9,7,77.8%,4,0,0.0%,0,p597320,Brighton
Facundo Buonanotte,4,81,36,28,77.8%,13,9,69.2%,0,0,0.0%,0,p536916,Leeds
Frank Onyeka,6,88,36,28,77.8%,15,10,66.7%,0,0,0.0%,0,p428580,Brentford
Luis Guilherme,5,121,30,27,90.0%,9,7,77.8%,0,0,0.0%,0,p577114,West Ham
Borna Sosa,7,99,41,26,63.4%,20,12,60.0%,3,0,0.0%,1,p218364,Crystal Palace
Rio Cardines,1,90,33,25,75.8%,10,3,30.0%,3,2,66.7%,0,p590014,Crystal Palace
Souza,4,144,27,25,92.6%,7,6,85.7%,3,0,0.0%,0,p616221,Spurs
Tammy Abraham,12,279,44,25,56.8%,20,10,50.0%,1,0,0.0%,0,p173879,Aston Villa
Arnaud Kalimuendo,9,89,29,24,82.8%,16,12,75.0%,2,0,0.0%,0,p465680,Nott'm Forest
Mike Trésor,6,37,27,23,85.2%,6,3,50.0%,1,1,100.0%,0,p437748,Burnley
Mohamadou Kanté,11,67,31,22,71.0%,15,10,66.7%,0,0,0.0%,0,p630699,West Ham
Marc Guiu,10,266,32,22,68.8%,13,10,76.9%,0,0,0.0%,0,p499309,Chelsea
Dário Essugo,3,26,25,21,84.0%,8,5,62.5%,0,0,0.0%,0,p491007,Chelsea
