player_name,matches_played,mins,total_open_play_passes,successfull_open_play_passes,percentage_open_play_passes,in_final_third_total,in_final_third_successfull,in_final_third_percentage,crosses_total,crosses_successful,crosses_percentage,through_balls,player_id,club_name
Virgil van Dijk,38,3420,2792,2485,89.0%,561,410,73.1%,1,0,0.0%,2,p97032,Liverpool
Lewis Dunk,33,2837,2492,2301,92.3%,273,190,69.6%,5,1,20.0%,1,p83299,Brighton
Jan Paul van Hecke,36,3211,2521,2198,87.2%,499,333,66.7%,23,10,43.5%,1,p469142,Brighton
Trevoh Chalobah,34,2782,2283,2124,93.0%,241,183,75.9%,5,1,20.0%,4,p180736,Chelsea
Marc Guéhi,35,3150,2309,2070,89.7%,495,398,80.4%,17,3,17.6%,3,p209036,Man City
Elliot Anderson,38,3334,2383,2038,85.5%,748,582,77.8%,74,24,32.4%,9,p215379,Nott'm Forest
Ezri Konsa,34,3036,2098,2003,95.5%,221,177,80.1%,5,1,20.0%,1,p199798,Aston Villa
Bernardo Silva,38,2886,2205,1989,90.2%,749,630,84.1%,34,6,17.6%,11,p165809,Man City
Joachim Andersen,33,2877,2275,1958,86.1%,386,227,58.8%,15,4,26.7%,0,p174874,Fulham
William Saliba,31,2615,2104,1954,92.9%,311,258,83.0%,9,4,44.4%,7,p462424,Arsenal
Ibrahima Konaté,36,3100,2168,1943,89.6%,318,249,78.3%,3,1,33.3%,4,p204716,Liverpool
Matheus Nunes,34,2865,2157,1922,89.1%,704,600,85.2%,66,16,24.2%,5,p465351,Man City
Dominik Szoboszlai,36,3233,2187,1919,87.8%,791,660,83.4%,75,20,26.7%,7,p424876,Liverpool
Moisés Caicedo,33,2802,2053,1883,91.7%,482,394,81.7%,7,2,28.6%,12,p486672,Chelsea
Declan Rice,36,3099,2136,1865,87.3%,671,534,79.6%,47,15,31.9%,12,p204480,Arsenal
Marcos Senesi,37,3290,2319,1801,77.7%,621,330,53.1%,26,8,30.8%,14,p221466,Bournemouth
Enzo Fernández,36,3121,2040,1755,86.0%,743,574,77.3%,45,6,13.3%,25,p448047,Chelsea
Martín Zubimendi,38,3001,1928,1684,87.3%,530,414,78.1%,12,3,25.0%,9,p481655,Arsenal
Ryan Gravenberch,36,2996,1860,1653,88.9%,572,465,81.3%,7,0,0.0%,8,p441266,Liverpool
Bruno Fernandes,35,3066,1994,1639,82.2%,871,662,76.0%,76,23,30.3%,39,p141746,Man Utd
Rúben Dias,26,2140,1752,1629,93.0%,279,237,85.0%,9,3,33.3%,1,p171314,Man City
Pascal Struijk,34,2937,1839,1627,88.5%,253,171,67.6%,2,0,0.0%,1,p222694,Leeds
Micky van de Ven,35,3043,1770,1601,90.5%,159,111,69.8%,3,0,0.0%,0,p491279,Spurs
James Garner,38,3414,1793,1564,87.2%,593,490,82.6%,74,18,24.3%,10,p232928,Everton
Sander Berge,35,2911,1729,1553,89.8%,350,296,84.6%,13,3,23.1%,3,p207189,Fulham
Gabriel Magalhães,32,2751,1733,1528,88.2%,299,205,68.6%,5,1,20.0%,4,p226597,Arsenal
Malick Thiaw,35,2964,1695,1519,89.6%,254,192,75.6%,8,1,12.5%,1,p465642,Newcastle
Granit Xhaka,34,2903,1807,1512,83.7%,600,441,73.5%,26,7,26.9%,8,p84450,Sunderland
Curtis Jones,34,1929,1647,1509,91.6%,551,480,87.1%,15,1,6.7%,13,p206915,Liverpool
Calvin Bassey,30,2532,1706,1497,87.8%,232,157,67.7%,14,3,21.4%,0,p232892,Fulham
Luke Shaw,38,3231,1712,1486,86.8%,379,309,81.5%,42,6,14.3%,4,p106760,Man Utd
Ethan Ampadu,35,3123,1731,1482,85.6%,376,283,75.3%,26,10,38.5%,6,p199598,Leeds
Maxence Lacroix,35,3087,1656,1460,88.2%,176,92,52.3%,5,2,40.0%,1,p437499,Crystal Palace
Rodri,21,1513,1618,1458,90.1%,414,340,82.1%,6,1,16.7%,6,p220566,Man City
Nathan Collins,35,2972,1753,1457,83.1%,257,126,49.0%,1,1,100.0%,0,p432830,Brentford
Mateus Fernandes,36,3024,1562,1366,87.5%,456,346,75.9%,29,6,20.7%,14,p551226,West Ham
Nikola Milenkovic,38,3375,1539,1333,86.6%,203,122,60.1%,2,0,0.0%,1,p227444,Nott'm Forest
Sandro Tonali,35,2543,1563,1319,84.4%,512,374,73.0%,38,8,21.1%,3,p432422,Newcastle
Adrien Truffert,38,3380,1560,1302,83.5%,464,368,79.3%,141,32,22.7%,0,p494521,Bournemouth
Casemiro,34,2588,1600,1301,81.3%,436,306,70.2%,17,4,23.5%,13,p61256,Man Utd
Marc Cucurella,34,2710,1445,1268,87.8%,403,331,82.1%,43,13,30.2%,2,p179268,Chelsea
Joe Rodon,35,2953,1450,1267,87.4%,200,130,65.0%,6,3,50.0%,0,p214225,Leeds
Sepp van den Berg,32,2761,1422,1259,88.5%,163,99,60.7%,0,0,0.0%,1,p444765,Brentford
James Tarkowski,37,3330,1559,1257,80.6%,323,151,46.8%,7,2,28.6%,9,p17761,Everton
Bruno Guimarães,29,2455,1451,1250,86.2%,565,446,78.9%,37,8,21.6%,21,p208706,Newcastle
Alexis Mac Allister,37,2662,1438,1245,86.6%,457,366,80.1%,11,2,18.2%,5,p243016,Liverpool
João Gomes,35,2833,1455,1245,85.6%,388,288,74.2%,32,11,34.4%,4,p448089,Wolves
Chris Richards,33,2826,1479,1242,84.0%,217,133,61.3%,13,5,38.5%,3,p427623,Crystal Palace
Alex Iwobi,29,2434,1432,1219,85.1%,493,376,76.3%,53,17,32.1%,10,p153133,Fulham
Florian Wirtz,33,2388,1421,1201,84.5%,730,585,80.1%,18,0,0.0%,12,p494595,Liverpool
André,35,2766,1311,1198,91.4%,229,189,82.5%,13,3,23.1%,1,p509291,Wolves
Matty Cash,35,3020,1393,1191,85.5%,425,330,77.7%,83,14,16.9%,2,p199796,Aston Villa
Nico González,25,1567,1316,1189,90.3%,355,299,84.2%,3,1,33.3%,1,p465694,Man City
Alex Scott,37,2859,1393,1182,84.8%,376,265,70.5%,27,7,25.9%,10,p503139,Bournemouth
Reece James,29,1961,1324,1178,89.0%,369,301,81.6%,53,12,22.6%,6,p225796,Chelsea
Ferdi Kadioglu,37,3134,1367,1170,85.6%,483,400,82.8%,81,17,21.0%,2,p231416,Brighton
Maxime Estève,34,2937,1347,1170,86.9%,156,92,59.0%,6,2,33.3%,0,p477717,Burnley
Nico O'Reilly,34,2648,1354,1167,86.2%,402,326,81.1%,38,9,23.7%,1,p472769,Man City
Wesley Fofana,25,1726,1253,1154,92.1%,144,120,83.3%,2,1,50.0%,0,p444463,Chelsea
Yehor Yarmoliuk,37,2665,1347,1136,84.3%,329,223,67.8%,30,8,26.7%,2,p508395,Brentford
Kyle Walker,36,3097,1441,1115,77.4%,401,257,64.1%,32,6,18.8%,3,p58621,Burnley
Rayan Cherki,33,1786,1277,1104,86.5%,610,480,78.7%,31,10,32.3%,29,p466052,Man City
Pedro Porro,34,2798,1470,1102,75.0%,567,382,67.4%,155,35,22.6%,4,p441164,Spurs
Malo Gusto,34,2267,1264,1097,86.8%,379,308,81.3%,58,12,20.7%,9,p482609,Chelsea
Ladislav Krejcí,28,2361,1317,1087,82.5%,263,148,56.3%,17,4,23.5%,1,p431248,Wolves
Neco Williams,37,3206,1325,1084,81.8%,424,306,72.2%,121,23,19.0%,0,p215136,Nott'm Forest
Lewis Hall,30,2179,1261,1075,85.3%,411,324,78.8%,61,11,18.0%,3,p487838,Newcastle
Phil Foden,33,2084,1210,1067,88.2%,463,373,80.6%,23,4,17.4%,13,p209244,Man City
Omar Alderete,33,2802,1304,1057,81.1%,231,114,49.4%,11,3,27.3%,3,p201895,Sunderland
Pau Torres,21,1676,1168,1040,89.0%,203,145,71.4%,4,0,0.0%,1,p244954,Aston Villa
Sven Botman,25,1838,1190,1037,87.1%,86,41,47.7%,2,0,0.0%,0,p220237,Newcastle
Abdukodir Khusanov,21,1429,1080,991,91.8%,157,130,82.8%,3,1,33.3%,0,p578153,Man City
Cristian Romero,23,1872,1128,985,87.3%,162,104,64.2%,1,0,0.0%,0,p221632,Spurs
Morgan Gibbs-White,37,3110,1208,980,81.1%,583,439,75.3%,42,9,21.4%,10,p222531,Nott'm Forest
Adam Wharton,34,2562,1232,977,79.3%,414,279,67.4%,34,12,35.3%,21,p496221,Crystal Palace
Michael Kayode,37,3264,1141,970,85.0%,259,186,71.8%,56,14,25.0%,2,p607464,Brentford
Konstantinos Mavropanos,31,2528,1171,963,82.2%,192,98,51.0%,4,1,25.0%,0,p233963,West Ham
Diogo Dalot,34,2616,1132,962,85.0%,347,270,77.8%,57,17,29.8%,3,p216051,Man Utd
Youri Tielemans,25,1862,1129,959,84.9%,376,281,74.7%,24,7,29.2%,13,p166989,Aston Villa
Vitalii Mykolenko,33,2960,1188,948,79.8%,404,308,76.2%,92,19,20.6%,2,p224967,Everton
Murillo,25,2133,1132,946,83.6%,206,130,63.1%,2,0,0.0%,3,p575476,Nott'm Forest
Noah Sadiki,33,2894,1106,944,85.3%,304,227,74.7%,21,4,19.1%,4,p577669,Sunderland
Marcus Tavernier,34,2738,1128,943,83.6%,535,424,79.3%,67,9,13.4%,11,p201658,Bournemouth
Michael Keane,33,2590,1102,942,85.5%,155,81,52.3%,1,0,0.0%,2,p106611,Everton
Santiago Bueno,29,2553,1085,938,86.5%,134,76,56.7%,6,2,33.3%,2,p231480,Wolves
Josko Gvardiol,18,1374,1047,936,89.4%,252,203,80.6%,2,1,50.0%,3,p477424,Man City
Nordi Mukiele,32,2787,1189,935,78.6%,313,199,63.6%,86,14,16.3%,3,p200834,Sunderland
Kobbie Mainoo,28,1653,1047,934,89.2%,266,229,86.1%,13,4,30.8%,3,p516895,Man Utd
Idrissa Gueye,25,2101,1065,930,87.3%,326,260,79.8%,19,4,21.1%,4,p80801,Everton
Jurriën Timber,30,2457,1085,925,85.3%,434,344,79.3%,46,6,13.0%,9,p445122,Arsenal
Pascal Groß,19,1636,1073,922,85.9%,364,268,73.6%,56,21,37.5%,2,p60307,Brighton
Milos Kerkez,34,2260,1070,913,85.3%,389,307,78.9%,79,15,19.0%,2,p544877,Liverpool
Mathias Jensen,36,2252,1122,907,80.8%,440,307,69.8%,48,13,27.1%,13,p207283,Brentford
Enzo Le Fée,36,2934,1113,906,81.4%,415,301,72.5%,44,9,20.4%,16,p484420,Sunderland
Dan Ballard,29,2148,1103,906,82.1%,199,96,48.2%,1,0,0.0%,3,p223827,Sunderland
Jordan Henderson,32,1922,1158,902,77.9%,346,203,58.7%,38,12,31.6%,6,p56979,Brentford
Florentino,31,2112,1042,891,85.5%,231,171,74.0%,11,1,9.1%,3,p216055,Burnley
Tyler Adams,25,1778,1010,880,87.1%,227,181,79.7%,3,2,66.7%,2,p200785,Bournemouth
Leny Yoro,32,1739,987,873,88.5%,171,132,77.2%,3,1,33.3%,1,p550864,Man Utd
Rodrigo Bentancur,26,1892,1018,873,85.8%,208,159,76.4%,7,1,14.3%,3,p202993,Spurs
Kieran Trippier,21,1592,1061,861,81.2%,396,279,70.5%,45,10,22.2%,2,p77794,Newcastle
Jaka Bijol,25,1893,1010,857,84.8%,157,77,49.0%,1,0,0.0%,0,p434752,Leeds
João Palhinha,33,2197,1044,856,82.0%,211,135,64.0%,4,0,0.0%,1,p154296,Spurs
Kiernan Dewsbury-Hall,31,2635,1026,846,82.5%,482,368,76.3%,52,10,19.2%,9,p215413,Everton
Lisandro Martínez,18,1231,939,844,89.9%,165,117,70.9%,2,1,50.0%,3,p221820,Man Utd
Tyrone Mings,17,1323,936,842,90.0%,122,82,67.2%,4,1,25.0%,1,p149484,Aston Villa
Emile Smith Rowe,37,1928,920,838,91.1%,330,288,87.3%,13,1,7.7%,0,p209289,Fulham
Dan Burn,29,2199,1054,836,79.3%,211,110,52.1%,14,1,7.1%,1,p78916,Newcastle
Ibrahim Sangaré,28,2080,956,830,86.8%,233,180,77.3%,8,0,0.0%,3,p210462,Nott'm Forest
Kevin Danso,24,1491,954,829,86.9%,122,71,58.2%,7,0,0.0%,0,p135720,Spurs
Yasin Ayari,29,1924,963,829,86.1%,195,144,73.8%,10,1,10.0%,1,p509416,Brighton
Pedro Neto,34,2643,931,813,87.3%,472,397,84.1%,111,21,18.9%,3,p247632,Chelsea
Tyrick Mitchell,38,3253,1107,809,73.1%,354,235,66.4%,104,22,21.1%,2,p244723,Crystal Palace
James Hill,29,2104,1037,806,77.7%,194,81,41.8%,11,2,18.2%,2,p463981,Bournemouth
Jake O'Brien,37,3124,1079,798,74.0%,286,179,62.6%,49,13,26.5%,2,p512462,Everton
Morgan Rogers,37,3285,1068,797,74.6%,529,375,70.9%,49,3,6.1%,20,p244850,Aston Villa
Amad Diallo,32,2344,904,795,87.9%,394,330,83.8%,33,9,27.3%,4,p493250,Man Utd
Trai Hume,38,3037,1048,790,75.4%,349,222,63.6%,52,7,13.5%,3,p487676,Sunderland
Iliman Ndiaye,32,2786,941,790,84.0%,413,327,79.2%,55,7,12.7%,3,p440993,Everton
El Hadji Malick Diouf,32,2711,1038,772,74.4%,269,171,63.6%,97,25,25.8%,4,p613804,West Ham
Lewis Miley,23,1493,840,754,89.8%,234,192,82.0%,22,3,13.6%,0,p547719,Newcastle
Antoine Semenyo,37,3200,936,749,80.0%,459,341,74.3%,49,8,16.3%,5,p437730,Man City
Kenny Tete,22,1794,886,748,84.4%,183,145,79.2%,34,13,38.2%,1,p167074,Fulham
Piero Hincapié,25,1792,837,744,88.9%,205,169,82.4%,33,4,12.1%,2,p448104,Arsenal
Amadou Onana,25,1764,849,742,87.4%,192,139,72.4%,0,0,0.0%,3,p449871,Aston Villa
Mats Wieffer,26,1908,881,733,83.2%,244,186,76.2%,16,3,18.8%,3,p467779,Brighton
Harry Maguire,23,1655,851,733,86.1%,113,66,58.4%,4,1,25.0%,0,p95658,Man Utd
Gabriel Gudmundsson,32,2637,957,730,76.3%,261,169,64.8%,87,23,26.4%,1,p243526,Leeds
Josh Cullen,18,1519,866,728,84.1%,255,164,64.3%,8,0,0.0%,6,p172567,Burnley
Mikkel Damsgaard,33,2057,951,726,76.3%,450,309,68.7%,45,12,26.7%,14,p440089,Brentford
Anton Stach,29,2378,939,726,77.3%,357,250,70.0%,37,13,35.1%,2,p466525,Leeds
Boubacar Kamara,18,1418,818,722,88.3%,238,198,83.2%,1,0,0.0%,4,p226944,Aston Villa
Andrey Santos,27,1255,797,718,90.1%,162,136,84.0%,2,0,0.0%,3,p532605,Chelsea
Jaidon Anthony,37,2735,897,717,79.9%,330,237,71.8%,53,9,17.0%,4,p444180,Burnley
Djed Spence,30,2056,882,713,80.8%,287,206,71.8%,51,10,19.6%,0,p232859,Spurs
Tijjani Reijnders,28,1636,798,711,89.1%,329,275,83.6%,16,2,12.5%,7,p433036,Man City
Matheus Cunha,33,2503,880,708,80.5%,374,283,75.7%,43,11,25.6%,9,p430871,Man Utd
Vitaly Janelt,25,1437,811,708,87.3%,217,165,76.0%,18,5,27.8%,2,p204580,Brentford
Cole Palmer,26,1965,820,703,85.7%,376,302,80.3%,34,5,14.7%,7,p244851,Chelsea
Toti Gomes,19,1427,816,701,85.9%,110,67,60.9%,11,3,27.3%,0,p510362,Wolves
Martin Ødegaard,24,1370,828,701,84.7%,398,305,76.6%,12,3,25.0%,20,p184029,Arsenal
Jorrel Hato,22,1142,761,700,92.0%,117,96,82.0%,7,4,57.1%,1,p551210,Chelsea
Reinildo Mandava,25,1969,814,699,85.9%,180,134,74.4%,23,4,17.4%,0,p434399,Sunderland
Tomás Soucek,35,2198,898,698,77.7%,267,159,59.5%,14,0,0.0%,1,p215439,West Ham
Bashir Humphreys,20,1578,851,697,81.9%,169,124,73.4%,18,3,16.7%,0,p461188,Burnley
Álex Jiménez,31,2323,868,696,80.2%,305,217,71.2%,51,11,21.6%,6,p551483,Bournemouth
Joelinton,27,1953,839,694,82.7%,262,209,79.8%,10,2,20.0%,2,p180974,Newcastle
Daichi Kamada,28,1908,825,693,84.0%,241,178,73.9%,14,6,42.9%,9,p209400,Crystal Palace
Jefferson Lerma,31,1724,871,692,79.5%,225,137,60.9%,12,5,41.7%,2,p152551,Crystal Palace
Timothy Castagne,30,1842,796,687,86.3%,195,158,81.0%,48,15,31.3%,0,p166477,Fulham
Tosin Adarabioyo,16,789,757,685,90.5%,47,30,63.8%,0,0,0.0%,4,p109646,Chelsea
Hugo Bueno,35,2364,848,683,80.5%,239,179,74.9%,113,41,36.3%,0,p490721,Wolves
Jean-Clair Todibo,23,1817,782,683,87.3%,95,62,65.3%,3,0,0.0%,0,p462116,West Ham
Jaydee Canvot,20,1334,765,675,88.2%,150,119,79.3%,5,0,0.0%,1,p651426,Crystal Palace
Jayden Bogle,34,2802,884,674,76.2%,288,172,59.7%,67,16,23.9%,2,p226182,Leeds
Fabian Schär,16,1091,796,672,84.4%,146,78,53.4%,4,1,25.0%,1,p119471,Newcastle
Xavi Simons,28,1757,802,665,82.9%,339,258,76.1%,19,4,21.1%,8,p493362,Spurs
Bafodé Diakité,18,1275,749,659,88.0%,119,85,71.4%,1,0,0.0%,1,p242882,Bournemouth
Lesley Ugochukwu,35,2350,788,657,83.4%,228,163,71.5%,7,1,14.3%,1,p503714,Burnley
Daniel Muñoz,29,2403,824,653,79.3%,274,191,69.7%,63,14,22.2%,1,p247348,Crystal Palace
Olivier Boscagli,12,800,754,652,86.5%,133,91,68.4%,12,5,41.7%,0,p204120,Brighton
Riccardo Calafiori,26,1707,756,647,85.6%,221,194,87.8%,21,3,14.3%,1,p466075,Arsenal
Morato,21,1342,757,646,85.3%,93,57,61.3%,2,0,0.0%,1,p485047,Nott'm Forest
Carlos Baleba,31,1662,748,644,86.1%,153,105,68.6%,0,0,0.0%,2,p535301,Brighton
Yerson Mosquera,27,2142,796,641,80.5%,133,88,66.2%,19,2,10.5%,0,p501837,Wolves
Tom Cairney,24,763,692,641,92.6%,191,160,83.8%,3,1,33.3%,4,p76357,Fulham
Antonee Robinson,22,1492,800,640,80.0%,247,182,73.7%,77,14,18.2%,1,p169528,Fulham
Jérémy Doku,30,1784,772,640,82.9%,494,386,78.1%,58,16,27.6%,18,p248875,Man City
Lutsharel Geertruida,28,1685,743,640,86.1%,152,119,78.3%,9,2,22.2%,1,p247955,Sunderland
Jacob Ramsey,28,1444,707,635,89.8%,248,206,83.1%,9,4,44.4%,4,p232653,Newcastle
Harry Wilson,36,2691,777,631,81.2%,346,265,76.6%,42,11,26.2%,10,p153682,Fulham
Bryan Mbeumo,33,2621,796,629,79.0%,395,296,74.9%,56,15,26.8%,13,p446008,Man Utd
Sasa Lukic,26,1734,730,625,85.6%,219,172,78.5%,16,4,25.0%,2,p212314,Fulham
John McGinn,30,2157,754,621,82.4%,321,238,74.1%,50,13,26.0%,5,p122806,Aston Villa
Yéremy Pino,34,2091,831,620,74.6%,367,231,62.9%,31,4,12.9%,19,p488024,Crystal Palace
Ian Maatsen,30,1599,715,615,86.0%,255,206,80.8%,48,9,18.8%,0,p441302,Aston Villa
Mohamed Salah,27,2148,793,610,76.9%,486,354,72.8%,59,8,13.6%,15,p118748,Liverpool
Lucas Paquetá,18,1521,789,608,77.1%,314,203,64.7%,20,3,15.0%,10,p224024,West Ham
Maximilian Kilman,21,1559,687,604,87.9%,84,43,51.2%,3,1,33.3%,0,p214048,West Ham
Victor Lindelöf,17,944,639,602,94.2%,55,47,85.5%,0,0,0.0%,0,p184667,Aston Villa
Bukayo Saka,31,2225,773,593,76.7%,453,341,75.3%,67,21,31.3%,3,p223340,Arsenal
Andy Robertson,24,1172,711,592,83.3%,265,210,79.3%,47,12,25.5%,2,p122798,Liverpool
Lucas Digne,31,1852,731,591,80.8%,234,179,76.5%,73,18,24.7%,1,p101188,Aston Villa
Ao Tanaka,28,1314,690,590,85.5%,173,130,75.1%,18,4,22.2%,3,p248056,Leeds
Cody Gakpo,36,2747,750,589,78.5%,434,339,78.1%,56,7,12.5%,5,p243298,Liverpool
Douglas Luiz,21,923,653,588,90.0%,180,141,78.3%,16,3,18.8%,0,p230046,Aston Villa
Diego Gómez,32,2136,753,587,78.0%,250,166,66.4%,20,6,30.0%,2,p514254,Brighton
Callum Hudson-Odoi,30,1844,657,586,89.2%,372,329,88.4%,87,12,13.8%,1,p209046,Nott'm Forest
Jarrod Bowen,38,3405,793,585,73.8%,382,251,65.7%,90,13,14.4%,6,p178186,West Ham
Maxim De Cuyper,30,1414,692,583,84.3%,188,135,71.8%,39,16,41.0%,1,p465730,Brighton
Leandro Trossard,31,2006,757,583,77.0%,410,281,68.5%,54,12,22.2%,13,p116216,Arsenal
Tino Livramento,17,1328,653,580,88.8%,239,206,86.2%,36,9,25.0%,2,p441191,Newcastle
Hjalmar Ekdal,19,1539,681,579,85.0%,75,38,50.7%,1,0,0.0%,1,p478969,Burnley
Cristhian Mosquera,20,989,633,578,91.3%,120,106,88.3%,3,1,33.3%,1,p500040,Arsenal
Aaron Wan-Bissaka,25,2084,738,566,76.7%,241,172,71.4%,42,16,38.1%,2,p214590,West Ham
Eberechi Eze,33,1900,666,565,84.8%,291,228,78.3%,7,2,28.6%,18,p232413,Arsenal
